emotion_word,A,B,C,D,E,UnClustered,total_counts,,
afraid,0.843276373,0.138278564,0.002098338,0.00229484,0.000398858,0.013397171,1,,*removing all words with total count < 3 from the bubble plot visualization
amazed,0.994331048,4.80E-06,0.000498687,3.62E-05,0.00025135,0.004864736,1,,
awe,0.98915576,9.23E-06,0.007143974,4.58E-06,6.93E-06,0.003627645,1,,
confused,9.43E-08,1.15E-07,3.10E-07,1.28E-06,2.48E-10,0.999998156,1,,
disgust,1.50E-05,3.52E-14,0.999984804,2.66E-09,7.74E-11,1.50E-07,1,,
dissapointed,3.83E-05,2.76E-07,2.31E-08,8.14E-12,0.000116118,0.999845301,1,,
entertained,0.989330916,0.002300271,0.005176122,0.00010233,0.000172424,0.002817577,1,,
frustrated,9.43E-08,1.15E-07,3.10E-07,1.28E-06,2.48E-10,0.999998156,1,,
productive,0.999990663,1.77E-13,6.67E-08,2.80E-06,6.47E-09,6.46E-06,1,,
pumped,0.950065624,0.045338856,2.86E-09,0.003373178,0.00011396,0.001097945,1,,
regretful,0.843276373,0.138278564,0.002098338,0.00229484,0.000398858,0.013397171,1,,
worried,2.02E-10,0.999999999,4.54E-14,5.06E-18,7.55E-10,2.46E-13,1,,
distracted,2.02E-10,0.999999999,4.54E-14,5.06E-18,7.55E-10,1,2,,
nostalgic,4.98E-05,0.00048279,0.9995707,6.27E-08,0.999509981,0.00038585,2,,
proud,1.993719162,0.002633793,7.15E-05,8.24E-05,0.000668494,0.002709226,2,,
stressed,3.91E-05,9.08E-05,0.00172481,8.68E-07,0.997863674,1.000280443,2,,
upset,0.997979586,0.75430294,0.232128433,0.001521045,0.010940333,0.003075032,2,,
annoyed,0.002337467,0.001565859,1.987345451,0.00028691,0.006204431,1.00213928,3,,
disappointed,1.997243745,0.000547892,0.000287845,0.001404368,7.35E-05,1.000424296,3,,
relieved,0.010271478,0.586436284,1.044299113,0.002104826,0.347159367,1.009083473,3,,
neutral,1.002574012,1.089938375,0.902792053,0.001537567,0.000203058,1.002809919,4,,
restless,5.39E-05,0.000261626,2.00105595,1.47E-06,1.997779016,0.000845737,4,,
bored,0.99371756,1.000993261,1.001677121,0.000640508,9.05E-05,2.002776435,5,,
focused,1.994521109,2.39E-05,0.001722888,4.02E-05,1.000253111,3.003424195,6,,
nervous,1.00175384,0.000111165,0.99992771,1.997126022,0.000130586,2.000946952,6,,
tired,2.437699612,1.352784271,1.014283613,1.013414188,2.135892124,3.043678755,11,,
excited,3.945065666,3.04195923,0.000961641,1.003491457,1.011244205,2.997160084,12,,
calm,3.339940354,3.799750321,2.712445184,2.007777932,0.111622122,2.027209761,14,,
relaxed,4.028808817,2.743341574,1.288920355,1.988935682,0.970607783,4.979007127,16,,
happy,7.293191659,4.044284899,4.755274165,2.981383001,1.920298998,9.004333588,30,,
