emotion_word,pattern_label,instances
annoyed,A,0.002337467
annoyed,B,0.001565859
annoyed,C,1.987345451
annoyed,D,0.00028691
annoyed,E,0.006204431
annoyed,UC,1.00213928
bored,A,0.99371756
bored,B,1.000993261
bored,C,1.001677121
bored,D,0.000640508
bored,E,9.05E-05
bored,UC,2.00277644
calm,A,3.339940354
calm,B,3.799750321
calm,C,2.712445184
calm,D,2.007777932
calm,E,0.111622122
calm,UC,2.02720976
disappointed,A,1.997243745
disappointed,B,0.000547892
disappointed,C,0.000287845
disappointed,D,0.001404368
disappointed,E,7.35E-05
disappointed,UC,1.0004243
excited,A,3.945065666
excited,B,3.04195923
excited,C,0.000961641
excited,D,1.003491457
excited,E,1.011244205
excited,UC,2.99716008
focused,A,1.994521109
focused,B,2.39E-05
focused,C,0.001722888
focused,D,4.02E-05
focused,E,1.000253111
focused,UC,3.0034242
happy,A,7.293191659
happy,B,4.044284899
happy,C,4.755274165
happy,D,2.981383001
happy,E,1.920298998
happy,UC,9.00433359
nervous,A,1.00175384
nervous,B,0.000111165
nervous,C,0.99992771
nervous,D,1.997126022
nervous,E,0.000130586
nervous,UC,2.00094695
neutral,A,1.002574012
neutral,B,1.089938375
neutral,C,0.902792053
neutral,D,0.001537567
neutral,E,0.000203058
neutral,UC,1.00280992
relaxed,A,4.028808817
relaxed,B,2.743341574
relaxed,C,1.288920355
relaxed,D,1.988935682
relaxed,E,0.970607783
relaxed,UC,4.97900713
relieved,A,0.010271478
relieved,B,0.586436284
relieved,C,1.044299113
relieved,D,0.002104826
relieved,E,0.347159367
relieved,UC,1.00908347
restless,A,5.39E-05
restless,B,0.000261626
restless,C,2.00105595
restless,D,1.47E-06
restless,E,1.997779016
restless,UC,0.00084574
tired,A,2.437699612
tired,B,1.352784271
tired,C,1.014283613
tired,D,1.013414188
tired,E,2.135892124
tired,UC,3.04367876
